Course Code,credits,semester,year,number_of_students,average_mark,std_dev,median,mode,pass_rate
ACCN08007,20,Semester 2,2020,57,79.17,7.01,76.3,80.45,0.95
ACCN08007,20,Semester 2,2021,60,77.7,5.58,76.16,80.76,0.87
ACCN08007,20,Semester 2,2022,60,79.42,6.52,76.98,80.7,0.89
ACCN08007,20,Semester 2,2023,58,76.59,6.84,75.55,80.24,0.92
ACCN08007,20,Semester 2,2024,59,76.71,7.05,76.91,79.54,0.87
ACCN08008,20,Semester 1,2020,122,79.17,8.32,79.63,78.82,0.62
ACCN08008,20,Semester 1,2021,118,79.83,6.46,79.59,77.93,0.63
ACCN08008,20,Semester 1,2022,118,78.88,6.44,77.74,79.08,0.6
ACCN08008,20,Semester 1,2023,129,78.44,8.0,79.19,77.86,0.68
ACCN08008,20,Semester 1,2024,119,79.56,6.96,78.49,78.32,0.68
ACCN08009,10,Semester 1,2020,75,74.38,9.16,75.06,72.71,0.65
ACCN08009,10,Semester 1,2021,75,75.13,9.6,74.98,73.41,0.61
ACCN08009,10,Semester 1,2022,73,74.18,9.9,75.04,73.92,0.65
ACCN08009,10,Semester 1,2023,74,72.79,10.27,75.72,72.87,0.57
ACCN08009,10,Semester 1,2024,80,75.04,10.29,75.73,73.87,0.62
ACCN08010,20,Semester 2,2020,80,73.53,8.9,72.71,74.5,0.67
ACCN08010,20,Semester 2,2021,75,73.04,8.34,71.87,74.34,0.73
ACCN08010,20,Semester 2,2022,75,73.83,8.69,72.25,75.46,0.67
ACCN08010,20,Semester 2,2023,77,73.22,8.28,72.12,74.62,0.7
ACCN08010,20,Semester 2,2024,79,72.15,8.32,71.23,74.74,0.74
ACCN08012,10,Semester 1,2020,142,71.0,8.78,70.93,69.83,0.84
ACCN08012,10,Semester 1,2021,145,69.42,10.67,70.8,70.6,0.9
ACCN08012,10,Semester 1,2022,141,68.93,9.99,70.54,69.72,0.84
ACCN08012,10,Semester 1,2023,140,68.14,8.93,71.22,69.52,0.86
ACCN08012,10,Semester 1,2024,141,69.65,9.78,71.51,70.4,0.87
ACCN10002,20,Semester 2,2020,154,84.16,8.04,82.66,85.41,0.95
ACCN10002,20,Semester 2,2021,140,82.47,7.16,84.19,86.11,0.95
ACCN10002,20,Semester 2,2022,151,85.72,8.02,84.24,86.2,0.95
ACCN10002,20,Semester 2,2023,152,85.35,7.78,83.94,86.81,0.94
ACCN10002,20,Semester 2,2024,145,83.21,7.76,83.45,87.3,0.94
ACCN10005,20,Full year,2020,134,74.03,10.74,70.91,72.66,0.64
ACCN10005,20,Full year,2021,139,71.18,10.78,70.63,72.49,0.65
ACCN10005,20,Full year,2022,138,74.29,8.88,71.4,71.84,0.6
ACCN10005,20,Full year,2023,133,72.14,10.65,71.73,72.57,0.63
ACCN10005,20,Full year,2024,134,72.7,10.2,72.07,72.82,0.64
ACCN10008,10,Semester 1,2020,53,66.43,6.1,65.76,67.67,0.71
ACCN10008,10,Semester 1,2021,53,67.18,7.65,65.45,67.74,0.7
ACCN10008,10,Semester 1,2022,50,64.68,6.12,66.54,68.75,0.73
ACCN10008,10,Semester 1,2023,51,64.89,7.33,64.84,67.9,0.77
ACCN10008,10,Semester 1,2024,49,68.18,7.29,65.93,68.69,0.71
